,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3715,4.0,X-d4.0m0dbm_in_R-7_bluetooth_le_null_D.csv,D,C,7,-77.74666666666667,-77.33333333333333,-78.0,6.590080087188279,5.820266666666666,5.8,21.0,-0.0847635065236016,-83.75,-71.0,12.75,-69.0,-93.0,24.0,-0.23231554325939524,-1.2149001756039495,150
3716,4.0,X-d4.0m0dbm_in_R-8_bluetooth_le_null_C.csv,C,D,8,-78.89830508474576,-78.02083333333333,-78.0,7.692600264031509,6.574547543809251,6.559322033898305,21.0,-0.09750019668697295,-84.0,-71.0,13.0,-71.0,-97.0,26.0,-0.590115075933881,-0.711525340323877,150
3717,4.0,X-d4.0m0dbm_in_R-8_bluetooth_le_null_D.csv,D,C,8,-77.13333333333334,-76.33333333333333,-76.0,7.104615088486888,5.628444444444445,5.44,19.0,-0.09210823364503311,-80.0,-70.0,10.0,-69.0,-94.0,25.0,-0.7507353280355376,-0.39924164598275214,150
3718,4.0,X-d4.0m0dbm_in_R-9_bluetooth_le_null_C.csv,C,D,9,-80.73333333333333,-81.05,-82.5,6.494784232152925,5.759111111111107,5.44,14.0,-0.08044736868892971,-86.0,-72.0,14.0,-71.0,-91.0,20.0,0.5385440911976245,-1.3931161664493437,150
3719,4.0,X-d4.0m0dbm_in_R-9_bluetooth_le_null_D.csv,D,C,9,-78.76666666666667,-79.04166666666667,-81.5,6.179985616667909,5.571555555555559,5.153333333333333,13.0,-0.07845940266611819,-84.0,-70.0,14.0,-68.0,-88.0,20.0,0.5487756203450592,-1.4313145014108557,150
3720,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,1,-30.43125,-30.4140625,-29.0,2.375978416884292,2.343984374999997,2.21875,3.0,-0.07807692476925174,-33.0,-28.0,5.0,-28.0,-33.0,5.0,-0.1218943760255572,-1.9252289430857323,160
3721,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,2,-29.61875,-29.375,-29.0,1.9002364162124648,1.5269531250000035,1.25625,5.0,-0.06415653652542612,-30.0,-28.0,2.0,-28.0,-36.0,8.0,-1.1883783763287235,0.03492025351324113,160
3722,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,3,-29.85625,-29.6953125,-29.0,1.886951493149731,1.6095312499999985,1.33125,5.0,-0.06320122229515532,-32.0,-29.0,3.0,-28.0,-33.0,5.0,-0.849459435684412,-0.9258170260759999,160
3723,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,4,-36.6,-36.53125,-38.0,1.7895530168173275,1.679999999999999,1.6625,6.0,-0.048894891169872334,-38.0,-35.0,3.0,-34.0,-41.0,7.0,-0.33056806984301546,-0.9164696784384292,160
3724,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,5,-36.3,-36.1796875,-35.0,1.9228884523029388,1.7574999999999992,1.5625,7.0,-0.05297213367225727,-38.0,-35.0,3.0,-33.0,-41.0,8.0,-0.6515932710345295,-0.5168463972285373,160
